Kanji,Onyomi,Kunyomi,Meaning
朝,chouチョウ,asaあさ,morning
運,unウン,hako(bu)はこ(ぶ),"carry, luck, destiny, fate, transport"
終,shuuシュウ,o(waru)お(わる),"end, finish"
台,"dai, taiダイ、 タイ",utenaうてな,"pedestal, a stand, counter for machines and vehicles"
広,kouコウ,hiro(i)ひろ(い),"wide, broad, spacious"
住,"juu, chuuジュウ、 チュウ",su(mu)す(む),"dwell, reside, live, inhabit"
無,"mu, buム、 ブ",na(i)な(い),"nothingness, none, ain't, nothing, nil, not"
真,shinシン,"ma, makotoま、 まこと","true, reality, Buddhist sect"
有,"yuu, uユウ、 ウ",a(ru)あ(る),"possess, have, exist, happen"
口,kouコウ,kuchiくち,mouth
少,shouショウ,"suku(nai), suko(shi)すく(ない)、 すこ(し)","few, little"
町,chouチョウ,machiまち,"town, village, block, street"
料,ryouリョウ,,"fee, materials"
工,"kou, ku, guコウ、 ク、 グ",,"craft, construction"
建,"ken, konケン、 コン",ta(teru)た(てる),build
空,kuuクウ,"sora, kara, a(ku), su(ku), muna(shii)そら、 から、 あ(く)、 す(く)、 むな(しい)","empty, sky, void, vacant, vacuum"
急,kyuuキュウ,iso(gu)いそ(ぐ),"hurry, emergency, sudden, steep"
止,shiシ,"to(maru), todo(maru), ya(meru), yo(su)と(まる)、 とど(まる)、 や(める)、 よ(す)","stop, halt"
送,souソウ,oku(ru)おく(る),"escort, send"
切,"setsu, saiセツ、 サイ",ki(ru)き(る),"cut, cutoff, be sharp"
転,tenテン,koro(garu)ころ(がる),"revolve, turn around, change"
研,kenケン,to(gu)と(ぐ),"polish, study of, sharpen"
足,sokuソク,"ashi, ta(riru)あし、 た(りる)","leg, foot, be sufficient"
究,kyuuキュウ,,"research, study"
楽,"gaku, rakuガク、 ラク",tano(shii)たの(しい),"music, comfort, ease"
起,kiキ,"o(kiru), oko(su)お(きる)、 おこ(す)","wake up, get up; rouse"
着,chakuチャク,"ki(ru), tsu(ku)き(る)、つ(く)","arrive, wear, counter for suits of clothing"
店,tenテン,miseみせ,"store, shop"
病,byouビョウ,ya(mu)や(む),"ill, sick"
質,"shitsu, shichiシツ、 シチ","tachi, tada(su)たち、 ただ(す)","substance, quality, matter, temperament"
待,taiタイ,ma(tsu)ま(つ),"wait, depend on"
試,shiシ,"kokoro(miru), tame(su)こころ(みる)、 ため(す)","test, try, attempt, experiment"
族,zokuゾク,,"tribe, family"
銀,ginギン,,silver
早,"sou, saソウ、 サッ",haya(i)はや(い),"early, fast"
映,eiエイ,"utsu(ru), ha(eru)うつ(る)、 は(える)","reflect, reflection, projection"
親,shinシン,"oya, shita(shii)おや、 した(しい)","parent, intimacy, relative, familiarity"
験,kenケン,,"verification, effect, testing"
英,eiエイ,,"England, English, hero, outstanding"
医,iイ,,"doctor, medicine"
仕,shiシ,,"attend, doing, official, serve"
去,"kyo, koキョ、 コ",sa(ru)さ(る),"gone, past, quit, leave, elapse, eliminate"
味,miミ,ajiあじ,"flavor, taste"
写,shaシャ,utsuruうつ(る),"copy, be photographed, describe"
字,jiジ,,"character, letter, word"
答,touトウ,kota(eru)こた(える),"solution, answer"
夜,yaヤ,"yo, yoruよ、 よる","night, evening"
音,onオン,"oto, neおと、 ね","sound, noise"
注,chuuチュウ,"soso(gu), sa(su), tsu(gu)そそ(ぐ)、 さ(す)、 つ(ぐ)","pour, irrigate, shed (tears), flow into, concentrate on"
帰,kiキ,"kae(ru), kae(su)かえ(る)、 かえ(す)","homecoming, arrive at, lead to, result in"
古,koコ,furu(i)ふる(い),old
歌,kaカ,"uta, uta(u)うた、 うた(う)","song, sing"
買,baiバイ,ka(u)か(う),buy
悪,akuアク,waru(i)わる(い),"bad, evil, wrong"
図,"zu, toズ、 ト",haka(ru)はか(る),"map, drawing, plan, extraordinary"
週,shuuシュウ,,week
室,shitsuシツ,muroむろ,"room, apartment, chamber, greenhouse, cellar"
歩,"ho, buホ、 ブ","aru(ku), ayu(mu)ある(く)、 あゆ(む)","walk, counter for steps"
風,"fuu, fuフウ、 フ","kaze, kaza-かぜ、 かざ-","wind, air, style, manner"
紙,shiシ,kamiかみ,paper
黒,kokuコク,kuroくろ,black
花,"ka, keカ、 ケ",hanaはな,flower
春,shunシュン,haruはる,spring
赤,"seki, shakuセキ、 シャク",aka(i)あか(い),red
青,"sei, shouセイ、 ショウ",ao(i)あお(い),blue
館,kanカン,yakataやかた,"building, mansion, large building, palace"
屋,okuオク,yaや,"roof, house, shop, dealer, seller"
色,"shoku, shikiショク、 シキ",iroいろ,color
走,souソウ,hashi(ru)はし(る),run
秋,shuuシュウ,akiあき,"autumn, fall"
夏,"ka, geカ、 ゲ",natsuなつ,summer
習,shuuシュウ,nara(u)なら(う),learn
駅,ekiエキ,,station
洋,youヨウ,,"ocean, sea, foreign, Western style"
旅,ryoリョ,tabiたび,"trip, travel"
服,fukuフク,,"clothing, admit, obey"
夕,(none),yuuゆう,evening
借,shakuシャク,ka(riru)か(りる),"borrow, rent"
曜,youヨウ,,weekday
飲,inイン,no(mu)の(む),drink
肉,nikuニク,,meat
貸,taiタイ,"ka(su), kashiか(す)、 かし",lend
堂,douドウ,,"public chamber, hall"
鳥,chouチョウ,toriとり,"bird, chicken"
飯,hanハン,meshiめし,"meal, rice"
勉,benベン,tsuto(meru)つと(める),"exertion, endeavor, effort"
冬,touトウ,fuyuふゆ,winter
昼,chuuチュウ,hiruひる,"daytime, noon"
茶,"cha, saチャ、 サ",,tea
弟,"tei, dai, deテイ、 ダイ、 デ",otoutoおとうと,younger brother
牛,gyuuギュウ,ushiうし,cow
魚,gyoギョ,"uo, sakanaうお、 さかな",fish
兄,"kyou, keiキョウ、 ケイ",aniあに,elder brother
犬,kenケン,inuいぬ,dog
妹,maiマイ,imoutoいもうと,younger sister
姉,shiシ,aneあね,elder sister
漢,kanカン,,China
